genotipo,fitness,totalMov,colisoes,x,y
"BBCBCCBBBCCCBCBCDEBCBBCCBBCCDDEDDDEDEDDDDEDBCEDEDEDBCEDBBBCBCCBBCBCCBCBBCCCEEEEDEDEDDEDEDDDBBBCCBBCB",2735.00,100,0,4,8
"BCDDEEDEDEBCBBBCBCCBCBBCCBCCDEBCBCDDDDDDDBCBBBCCCBBBCCCBCEEDDEEDEDEEEDDEEEDDEDEEDDDDEDDEEEDEDDDBCBBB",2735.00,100,0,4,8
"DEBBCBBCCCBCDDDEDEDDEDDDDEEEEDEDDEEDDEDDDBCEDEEDDBCEDEDBBBCCBBCBCBCCBCBCCBCBCEEEDEDEEDEDDDEEDEEDEEDD",2735.00,100,0,1,5
"DEDEBCBBCCDEDDEDDEDDEDEDDEDEDDDBBCBCBCBBCCCEEDEEEEDDEEEEBBBCBCBCCCDDDEEEBCBBBCBCBCBCCBCCDDEDDDEDDDEE",2735.00,100,0,1,5
"BCDDEDDEDDDDDBBCCBBCCBCBBBCBCBCCBBCBCCBCCBBBCCBCCEDBCBCBCBBBCCBBCCBBCCCEEEEEEEDDEEBCBBBCCBBCCBBCCBCB",2735.00,100,0,3,1
"BBCBCCBBBCCCBCBCDE",1164.40,18,1,1,1
"DEBBCBBCCCBC",1104.40,12,1,1,1
"BCDDEDDE",1070.40,8,1,1,3
"BCBBCBBCCCDDEDDEDEEEDDDDEDEEDDDEDEEDEEEDEEBCBBB",1570.90,47,1,4,1
"BBBCBCCCBCD",1096.10,11,1,1,2
"BCDDEEDEBCDDDEEDDEDE",1188.00,20,1,1,3
"BB",1016.40,2,1,3,1
"DDDEDDEEEEBBBCBCCCDEDEDDEEBBBCCBB",1357.90,33,1,4,1
"B",1005.10,1,1,2,1
"BCDDDDEEDDEDEDDEEEDDEEEE",1237.60,24,1,1,1
"BCDEDDDDDEDDEEDDDEEEDEDEEDEDEDEEDEEEBBCCBBCBCCBCBCBBBCCBCBC",1786.10,59,1,2,1
"BCBBCBBCBCBCCBBCCCDEDEBCBBCCBBCBBCCCBCDDEDEEBBCBCBB",1629.10,51,1,4,1
"DEBBCBCCBCBCD",1111.90,13,1,1,2
"DDEDDDDDDBBCCBBCBCBCCBCBBCBCBB",1326.00,30,1,4,8
"BBCCDEBBCCBCBBCBCBCBBCCBBCBCCBBCBCBCCBCCDDEDEEB",1559.90,47,1,2,1
"BC",1011.40,2,1,1,1
"BCDEBBCBCCDEBCBCDDDEDDD",1229.90,23,1,1,6
